month,vehicle_production_de,registrations_total_de,data_status
2022-01-01,251969,184112,observed
2022-02-01,309534,200512,observed
2022-03-01,265329,241330,observed
2022-04-01,257934,180264,observed
2022-05-01,303379,207199,observed
2022-06-01,297963,224558,observed
2022-07-01,250382,205911,observed
2022-08-01,231320,199183,observed
2022-09-01,371042,224816,observed
2022-10-01,283933,208642,observed
2022-11-01,396373,260512,observed
2022-12-01,261199,314318,observed
2023-01-01,326251,179247,observed
2023-02-01,380597,206210,observed
2023-03-01,438562,281361,observed
2023-04-01,316039,202947,observed
2023-05-01,377206,246966,observed
2023-06-01,384718,280139,observed
2023-07-01,290354,243277,observed
2023-08-01,253507,273417,observed
2023-09-01,359613,224502,observed
2023-10-01,322843,218959,observed
2023-11-01,401407,245701,observed
2023-12-01,258254,241883,observed
2024-01-01,301538,213553,observed
2024-02-01,374140,217388,observed
2024-03-01,360821,263844,observed
2024-04-01,396427,243102,observed
2024-05-01,305554,236425,observed
2024-06-01,349310,297329,observed
2024-07-01,318585,238263,observed
2024-08-01,300964,197322,observed
2024-09-01,379324,208848,observed
2024-10-01,366585,231992,observed
2024-11-01,390189,244544,observed
2024-12-01,225155,224721,observed
2025-01-01,337231,207640,observed
2025-02-01,355942,203434,observed
2025-03-01,388583,253497,observed
2025-04-01,365369,242728,observed
2025-05-01,366879,239297,observed
2025-06-01,357344,256193,observed
2025-07-01,343166,264802,observed
2025-08-01,239186,207229,observed
2025-09-01,391740,235528,observed
2025-10-01,352502,250133,observed
2025-11-01,390312,250671,observed
2025-12-01,260582,246439,observed
2026-01-01,305747,193981,observed
2026-02-01,359811,211262,observed
2026-03-01,403394,294161,observed
2026-04-01,352966,249163,observed
2026-05-01,309582,239448,observed
2026-06-01,378875,296378,observed
2026-07-01,311324,268068,observed
2026-08-01,229900,212563,observed
